First,Last,2B,3B,HR,RBI
Leonys,Martin,17,3,15,47
Jay,Bruce,27,6,33,99
Jackie,Bradley Jr.,30,7,26,87
George,Springer,29,5,29,82
Corey,Dickerson,36,3,24,70
Dexter,Fowler,25,7,13,48
Angel,Pagan,24,5,12,55
Adam,Eaton,29,9,14,59
Yasmany,Tomas,30,1,31,83
Gregory,Polanco,34,4,22,86
Nomar,Mazara,13,3,20,64
Justin,Upton,28,2,31,87
Bryce,Harper,24,2,24,86
Kole,Calhoun,35,5,18,75
Ender,Inciarte,24,7,3,29
Jacoby,Ellsbury,24,5,9,56
Curtis,Granderson,24,5,30,59
Mookie,Betts,42,5,31,113
Denard,Span,23,5,11,53
Adam,Duvall,31,6,33,103
Brett,Gardner,22,6,7,41
Matt,Kemp,39,0,35,108
Khris,Davis,24,2,42,102
Mike,Trout,32,5,29,100
Melky,Cabrera,42,5,14,86
Jose,Bautista,24,1,22,69
Ian,Desmond,29,3,22,86
Alex,Gordon,16,2,17,40
Ryan,Braun,23,3,30,91
Nick,Markakis,38,0,13,89
Carlos,Gonzalez,42,2,25,100
Yoenis,Cespedes,25,1,31,86
Stephen,Piscotty,35,3,22,85
Michael,Saunders,32,3,24,57
Jayson,Werth,28,0,21,69
Howie,Kendrick,26,2,8,40
Adam,Jones,19,0,29,83
Marcell,Ozuna,23,6,23,76
Jason,Heyward,27,1,7,49
Marwin,Gonzalez,26,3,13,51
Starling,Marte,34,5,9,46
J.D.,Martinez,35,2,22,68
Kevin,Pillar,35,2,7,53
Charlie,Blackmon,35,5,29,82
Odubel,Herrera,21,6,15,49
Christian,Yelich,38,3,21,98
Andrew,McCutchen,26,3,24,79
